jn	abs	pmid
1. Dig Dis Sci. 2020 Apr 24. doi: 10.1007/s10620-020-06260-z. [Epub ahead of print]	 Identification of METTL3 as an Adverse Prognostic Biomarker in Hepatocellular Carcinoma.  Liu GM(1)(2), Zeng HD(3)(4), Zhang CY(3)(4), Xu JW(3)(4).  Author information:  (1)Department of Hepatobiliary Surgery, Meizhou People's Hospital, No. 63 Huangtang Road, Meizhou, 514000, China. liugaom88@foxmail.com. (2)Guangdong Provincial Key Laboratory of Precision Medicine and Clinical Translational Research of Hakka Population, Meizhou, China. liugaom88@foxmail.com. (3)Department of Hepatobiliary Surgery, Meizhou People's Hospital, No. 63 Huangtang Road, Meizhou, 514000, China. (4)Guangdong Provincial Key Laboratory of Precision Medicine and Clinical Translational Research of Hakka Population, Meizhou, China.  INTRODUCTION: N6-methyladenosine (m6A), the most prominent mRNA modification, plays a critical role in many physiological and pathological processes. However,  the roles of m6A RNA modification in hepatocellular carcinoma (HCC) remain largely unknown. MATERIALS AND METHODS: We investigated the mRNA expression and clinical significance of m6A-related genes using data from The Cancer Genome Atlas (TCGA)  liver hepatocellular carcinoma cohort. Mutation, copy number variation (CNV), methylation, differential expression, and gene ontology analyses, gene set enrichment analysis and the construction of a competing endogenous RNA (ceRNA) regulatory network were performed to investigate the underlying mechanisms of the aberrant expression of m6A-related genes. RESULTS: m6A-related genes were frequently dysregulated in cancers but with a cancer-specific pattern. METTL3, YTHDF2, and ZC3H13 were found to be independent  prognostic factors of overall survival (OS); however, only METTL3 was found to be an independent prognostic factor of recurrence-free survival (RFS). Joint effects analysis showed the predictive capacity of combining METTL3, YTHDF2, and ZC3H13 for HCC OS. Then the potential mechanisms of METTL3 were further explored due to  its prognostic role in both OS and RFS. CNV and DNA methylation, but not somatic  mutations, might contribute to the abnormal upregulation of METTL3 in HCC. Significantly altered genes, microRNAs, and lncRNAs were identified, and a ceRNA  regulatory network was constructed to explain the upregulation of METTL3 in HCC. CONCLUSIONS: Our study identified several m6A-related genes, especially METTL3, that could be potential prognostic biomarkers in HCC.  DOI: 10.1007/s10620-020-06260-z 	32333311
2. RNA Biol. 2020 Feb;17(2):188-201. doi: 10.1080/15476286.2019.1673117. Epub 2019	Oct 15.  Circulatory miR-98-5p levels are deregulated during diabetes and it inhibits proliferation and promotes apoptosis by targeting PPP1R15B in keratinocytes.  Khan R(1), Kadamkode V(2), Kesharwani D(1)(3), Purkayastha S(2), Banerjee G(2), Datta M(1)(3).  Author information:  (1)CSIR-Institute of Genomics & Integrative Biology (IGIB), New-Delhi, India. (2)Unilever Industries Private Limited, Bangalore, India. (3)Academy of Scientific and Innovative Research, CSIR-HRDC, Ghaziabad, India.  Although deregulated circulatory miRNA signatures during diabetes have been identified for some years now, the effects of such miRNAs on several target tissues are not yet thoroughly investigated. The skin that is nourished by components present in the circulation exhibits several notable abnormal features  during diabetes. We, therefore, hypothesized that such altered circulatory miRNA  levels might be critical in the onset and progression of impaired skin health during diabetes. RNA sequencing from blood samples of normal and type 2 diabetic  human subjects identified 9 upregulated and 19 downregulated miRNAs. miR-98-5p was significantly downregulated and its overexpression down-regulated PPP1R15B levels in HaCaT cells and this was prevented by the miR-98-5p inhibitor. This was validated in human primary epidermal keratinocytes and further supported by a dual reporter luciferase assay of the PPP1R15B 3'UTR where miR-98-5p significantly decreased the luciferase activity which was prevented in the presence of the miRNA inhibitor and by mutation in the miRNA binding site. By targeting PPP1R15B, miR-98-5p increases levels of p-eIF2α, BiP and CHOP. Consequently, there was induction of apoptosis accompanied with decreased proliferation in the presence of miR-98-5p. Conversely, miR-98-5p inhibition alone inhibited apoptosis and promoted proliferation. Taken together, our data suggest that by targeting PPP1R15B, miR-98-5p induces apoptosis and decreases proliferation. As opposed to this since circulatory miR-98-5p levels are decreased in diabetes, we believe that this decrease in the circulation that feeds the skin layers might be a major contributor of hyperproliferation as seen  in the skin during diabetes.Abbreviations: miRNAs: MicroRNAs; PPP1R15B: PPP1R15B: Protein Phosphatase 1 Regulatory Subunit 15B; TGFβR1: Transforming Growth Factor  Beta Receptor 1; ER: Endoplasmic Reticulum; Bip: Binding Immunoglobulin Protein;  Chop: CCAAT-enhancer-binding protein homologous protein; p-eIF2α: Eukaryotic Translation Initiation Factor 2a; Bax: Bcl2-associated X protein; Bcl-2: B-cell CLL/lymphoma 2; PCNA: Proliferating Cell Nuclear Antigen; K5: Cytokeratin 5; qRT-PCR: Quantitative Real-Time PCR; ESCC: Oesophageal squamous cell carcinoma; HCC: Hepatocellular carcinoma; CTHRC1: Collagen triple helix repeat containing 1; SALL4: Sal-like protein 4; TNFα: Tumour Necrosis Factor alpha; PGC-1β: Peroxisome Profilerator-activated receptor-γ coactivator-1β; IGF2BP1: Insulin-like growth factor 2 mRNA binding protein 1.  DOI: 10.1080/15476286.2019.1673117  PMCID: PMC6973307	31615341
3. Oncol Lett. 2019 Jun;17(6):5815-5820. doi: 10.3892/ol.2019.10250. Epub 2019 Apr	15.  High expression of microRNA-500 is associated with poor prognosis in patients with acute myeloid leukemia receiving allogeneic hematopoietic stem cell transplantation.  Zhang G(1), Shi J(2)(3), Yang X(1), Zhang X(1), Zhang L(4), Zhang J(1), Yang S(1), Wang J(1), Hu K(1), Ke X(1), Fu L(1).  Author information:  (1)Department of Hematology and Lymphoma Research Center, Peking University, Third Hospital, Beijing 100191, P.R. China. (2)Department of Biomedical Engineering, Chinese People's Liberation Army General Hospital, Beijing 100853, P.R. China. (3)Department of Medical Big Data, Chinese People's Liberation Army General Hospital, Beijing 100853, P.R. China. (4)Department of Hematology, The First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan 453100, P.R. China.  MicroRNA-500 (miR-500) is a potential prognostic biomarker in a number of different types of cancer, such as prostate cancer and hepatocellular carcinoma.  This study aimed to explore the clinical implications of miR-500 expression status in patients with acute myeloid leukemia (AML) that had received allogeneic hematopoietic stem cell transplantation (allo-HSCT). miR-500 expression status and clinical data were obtained from 74 patients with AML in the The Cancer Genome Atlas database receiving allo-HSCT. Patients with low expression level of  miR-500 (miR-500low) were significantly more likely to present with a French-American-British classification M2 subtype (P=0.003), and less likely to have the M5 subtype (P=0.040) compared with patients with high expression levels  (miR-500high). miR-500low patients were associated with low-risk AML (P=0.003) and core-binding factor subunit b-myosin heavy chain 11 translocation mutation (P=0.021). There was a significant difference in nucleophosmin 1 (P=0.009), NRAS  proto-oncogene GTPase/KRAS proto-oncogene GTPase (P=0.047) and PHD finger protein 6 (P=0.040) expression levels between the two groups. miR-500high patients had a  decreased overall survival (OS) time compared with the low expression group (P=0.035). Multivariate analysis revealed that miR-500 expression significantly affected OS time independent of other classical prognostic factors, such as age and common mutations. The analysis of survival curves further substantiated this  result. The results obtained in the current study suggested that miR-500 may be a suitable prognostic marker for patients with AML receiving allo-HSCT.  DOI: 10.3892/ol.2019.10250  PMCID: PMC6507407	31186809
4. Biosci Rep. 2019 Feb 26;39(2). pii: BSR20182470. doi: 10.1042/BSR20182470. Print 	2019 Feb 28.  The associations between Toll-like receptor 4 gene polymorphisms and hepatitis C  virus infection: a systematic review and meta-analysis.  Chaiwiang N(1), Poyomtip T(2).  Author information:  (1)Faculty of Optometry, Ramkhamhaeng University, Bangkok, Thailand. (2)Faculty of Optometry, Ramkhamhaeng University, Bangkok, Thailand tpteera075@gmail.com teera.p@ru.ac.th.  Background and objective: The hepatitis C virus (HCV) is able to cause a life-threatening disease relating to lethal hepatocellular carcinoma. Previous, Toll-like receptor polymorphisms were proposed as promising biomarker for HCV-related hepatocellular carcinoma and disease progression. This study aimed to summarize the association of TLR4 polymorphisms and HCV infection through meta-analysis.Methods: We applied a systematic review and meta-analysis performed by using PubMed, EMBASE and Web of Science searches. The Modified Newcastle-Ottawa scale was used for quality assessment. The odd-ratio (OR) and 95% confidence interval (CI) were calculated to assess the association. In silico analysis was applied for proposing the function as microRNA (miRNA) of non-coding polymorphism. Finally, the miRNA target was predicted and annotated to suggest the possible relationship between polymorphism and HCV infection.Results: Our meta-analysis incorporated seven studies involving rs4986791, rs4986790 and rs2149356. No association exists between rs4986791 and HCV infection. However, the heterozygous model (AG vs GG) of rs4986790 significantly associates with HCV  infection (OR = 0.33, 95% CI = 0.21-0.49, P<0.0001). Moreover, the rs2149356 TG genotype also associates with HCV infection in the over-dominant model (TG vs TT+TG: OR = 0.54, 95% CI = 0.40-0.75). In silico analysis of rs2149356G allele showed that this mutation is siRNA, which targets the set of genes, especially in the autophagy pathway.Conclusion: We demonstrated that rs4986790 and rs2149356 are associated with HCV infection.  © 2019 The Author(s).  DOI: 10.1042/BSR20182470  PMCID: PMC6390129	30765614
5. Gastroenterology. 2019 May;156(6):1731-1741. doi: 10.1053/j.gastro.2019.01.261.	Epub 2019 Feb 6.  Biomarkers Associated With Response to Regorafenib in Patients With Hepatocellular Carcinoma.  Teufel M(1), Seidel H(2), Köchert K(2), Meinhardt G(3), Finn RS(4), Llovet JM(5), Bruix J(6).  Author information:  (1)Bayer HealthCare Pharmaceuticals, Whippany, New Jersey. Electronic address: michael.teufel@bayer.com. (2)Bayer AG, Berlin, Germany. (3)Bayer HealthCare Pharmaceuticals, Whippany, New Jersey. (4)David Geffen School of Medicine at UCLA, Los Angeles, California. (5)BCLC Group, Liver Unit, Hospital Clinic, University of Barcelona, IDIBAPS, CIBEREHD, Barcelona, Spain; Liver Cancer Program, Division of Liver Diseases, Icahn School of Medicine at Mount Sinai, New York, New York; Institució Catalana  de Recerca i Estudis Avançats (ICREA), Barcelona, Spain. (6)BCLC Group, Liver Unit, Hospital Clinic, University of Barcelona, IDIBAPS, CIBEREHD, Barcelona, Spain.  BACKGROUND & AIMS: In a phase 3 trial (RESORCE), regorafenib increased overall survival compared with placebo in patients with hepatocellular carcinoma (HCC) previously treated with sorafenib. In an exploratory study, we analyzed plasma and tumor samples from study participants to identify genetic, microRNA (miRNA),  and protein biomarkers associated with response to regorafenib. METHODS: We obtained archived tumor tissues and baseline plasma samples from patients with HCC given regorafenib in the RESORCE trial. Baseline plasma samples from 499 patients were analyzed for expression of 294 proteins (DiscoveryMAP) and plasma samples from 349 patients were analyzed for levels of 750 miRNAs (miRCURY  miRNA PCR). Tumor tissues from 7 responders and 10 patients who did not respond (progressors) were analyzed by next-generation sequencing (FoundationOne). Forty-six tumor tissues were analyzed for expression patterns of 770 genes involved in oncogenic and inflammatory pathways (PanCancer Immune Profiling). Associations between plasma levels of proteins and miRNAs and response to treatment (overall survival and time to progression) were evaluated using a Cox proportional hazards model. RESULTS: Decreased baseline plasma concentrations of 5 of 266 evaluable proteins  (angiopoietin 1, cystatin B, the latency-associated peptide of transforming growth factor beta 1, oxidized low-density lipoprotein receptor 1, and C-C motif  chemokine ligand 3; adjusted P ≤ .05) were significantly associated with increased overall survival time after regorafenib treatment. Levels of these 5 proteins, which have roles in inflammation and/or HCC pathogenesis, were not associated with survival independently of treatment. Only 20 of 499 patients had  high levels and a reduced survival time. Plasma levels of α-fetoprotein and c-MET were associated with poor outcome (overall survival) independently of regorafenib treatment only. We identified 9 plasma miRNAs (MIR30A, MIR122, MIR125B, MIR200A,  MIR374B, MIR15B, MIR107, MIR320, and MIR645) whose levels significantly associated with overall survival time with regorafenib (adjusted P ≤ .05). Functional analyses of these miRNAs indicated that their expression level associated with increased overall survival of patients with tumors of the Hoshida S3 subtype. Next-generation sequencing analyses of tumor tissues revealed 49 variants in 27 oncogenes or tumor suppressor genes. Mutations in CTNNB1 were detected in 3 of 10 progressors and VEGFA amplification in 1 of 7 responders. CONCLUSION: We identified expression patterns of plasma proteins and miRNAs that  associated with increased overall survival times of patients with HCC following treatment with regorafenib in the RESORCE trial. Levels of these circulating biomarkers and genetic features of tumors might be used to identify patients with HCC most likely to respond to regorafenib. ClinicalTrials.gov number NCT01774344. NCBI GEO accession numbers: mRNA data (NanoString): GSE119220; miRNA data (Exiqon): GSE119221.  Copyright © 2019 AGA Institute. Published by Elsevier Inc. All rights reserved.  DOI: 10.1053/j.gastro.2019.01.261 	30738047
6. Mol Med Rep. 2019 Feb;19(2):1356-1364. doi: 10.3892/mmr.2018.9728. Epub 2018 Dec 	5.  Bioinformatics analysis of the interactions among lncRNA, miRNA and mRNA expression, genetic mutations and epigenetic modifications in hepatocellular carcinoma.  Lin C(1), Yuan G(1), Hu Z(1), Zeng Y(1), Qiu X(2), Yu H(2), He S(1).  Author information:  (1)Department of Hepatobiliary Surgery, The First Affiliated Hospital of Guangxi  Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China. (2)Department of Epidemiology, School of Public Health, Guangxi Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China.  The present study aimed to investigate the regulatory networks involving long noncoding RNA (lncRNA), microRNA (miRNA), mRNA, genetic mutations and epigenetic  modifications in hepatocellular carcinoma (HCC) by analyzing datasets from The Cancer Genome Atlas (TCGA) database. TCGA was mined, and miRNAs, lncRNAs and mRNAs that were differentially expressed in HCC were identified using R software. A gene regulatory network was constructed using Cytoscape software. Representative genes were selected for functional enrichment analysis using Gene  Ontology and Kyoto Encyclopedia of Genes and Genomes. The associations among various proteins and protein networks were identified using the online software Search Tool for the Retrieval of Interacting Genes/Proteins. The cBioPortal database was used to analyze the association between genetic mutations and epigenetic modification, and the development of HCC. A total of 35 mRNAs were predicted to be targeted by 77 lncRNAs and 16 miRNAs, establishing a lncRNA‑miRNA‑mRNA regulatory network for HCC. Multivariable Cox regression analysis suggested that long intergenic non‑protein coding RNA 200, miRNA‑137, PDZ binding kinase and DNA polymerase θ were independent prognostic factors. In a regulatory network centered on miRNA‑424, six mRNA target genes were associated with HCC survival rates. Protein‑protein interaction analysis suggested that cell division cycle 25A (CDC25A) interacted with centrosomal protein 55 (CEP55), claspin, E2F transcription factor 7 and cyclin E1 (CCNE1. Mutations in CEP55 affected overall survival and disease‑free survival in HCC, whereas, mutations in CDC25A affected overall survival, and mutations in E2F7 affected disease‑free survival. Decreased methylation levels of CEP55, CDC25A and CCNE1 were associated with vascular invasion. The survival rate of patients with hypermethylation of CCNE1 and CEP55 was significantly associated with the rate of methylation of these loci. The present study provides an integrated bioinformatics analysis of gene expression, genetic mutations and epigenetic modifications that may be associated with the development of HCC.  DOI: 10.3892/mmr.2018.9728 	30535497
7. EBioMedicine. 2018 Dec;38:57-68. doi: 10.1016/j.ebiom.2018.10.067. Epub 2018 Nov 	1.  SF3B4 is regulated by microRNA-133b and promotes cell proliferation and metastasis in hepatocellular carcinoma.  Liu Z(1), Li W(2), Pang Y(1), Zhou Z(1), Liu S(3), Cheng K(3), Qin Q(1), Jia Y(1), Liu S(4).  Author information:  (1)Department of Laboratory Diagnostics, Changhai Hospital, Second Military Medical University, Shanghai 200433, China. (2)Department of General Surgery, Changzheng Hospital, Second Military Medical University, Shanghai 200003, China. (3)Clinical Trial Center, Changhai Hospital, Second Military Medical University,  Shanghai 200433, China. (4)Department of Laboratory Diagnostics, Changhai Hospital, Second Military Medical University, Shanghai 200433, China. Electronic address: liushanrong@hotmail.com.  BACKGROUND: Splicing factor 3b subunit 4 (SF3B4) is a splicing factor and potential oncogene in hepatocellular carcinoma (HCC); however, its regulatory mechanism is yet unclear. We aimed to determine the role of SF3B4 in HCC and the  underlying mechanism. METHODS: To investigate the association between alternative splicing events and miRNAs, putative miRNAs were screened using TargetScan. Expression levels of and  prognostic information for SF3B4 and miRNAs were determined based on public genomic data and clinical samples. Then, we examined the possible roles of SF3B4  and miRNA-133b in HCC cells and a xenograft mouse model. Pearson correlation analysis and in vitro experiments verified SF3B4 as a miRNA-133b target. Protein  levels of key targets from the SF3B4 signaling pathway were estimated using western blotting. FINDINGS: The expression of SF3B4 was upregulated in HCC tissues and cell lines whereas, the expression of miRNA-133b was downregulated. MiRNA-133b negatively regulated the expression of SF3B4. Effects of SF3B4 overexpression were partially abolished by miRNA-133b mimics, confirming that SF3B4 is a target of miRNA-133b.  Moreover, molecules associated with SF3B4, including KLF4, KIP1, and SNAI2, were  also modulated by miRNA-133b. INTERPRETATION: SF3B4 plays a crucial role in HCC and is negatively regulated by  miRNA-133b. The miRNA-133b/ SF3B4 axis may serve as a new therapeutic target for  HCC treatment. FUND: China National Funds for Distinguished Young Scientists (No.81425019), the State Key Program of National Natural Science Foundation of China (No.81730076), Shanghai Science and Technology Committee Program (No.18XD1405300) and Specially-Appointed Professor Fund of Shanghai (GZ2015009).  China National Funds for National Natural Science Fund (No.81672899).  Copyright © 2018 The Authors. Published by Elsevier B.V. All rights reserved.  DOI: 10.1016/j.ebiom.2018.10.067  PMCID: PMC6306498	30391496
8. Sci Rep. 2018 Aug 16;8(1):12284. doi: 10.1038/s41598-018-30682-5.	 MicroRNA-224 down-regulates Glycine N-methyltransferase gene expression in Hepatocellular Carcinoma.  Hung JH(1)(2), Li CH(2), Yeh CH(2), Huang PC(2), Fang CC(2), Chen YF(2), Lee KJ(2), Chou CH(3), Cheng HY(2), Huang HD(3)(4), Chen M(5)(6)(7), Tsai TF(8), Lin  AM(1)(9)(10), Yen CH(2)(11), Tsou AP(12), Tyan YC(2), Chen YA(13)(14)(15).  Author information:  (1)Department and Institute of Pharmacology, National Yang-Ming University, Taipei, Taiwan. (2)Center for Infectious Disease and Cancer Research (CICAR), Kaohsiung Medical University, Kaohsiung, Taiwan. (3)Institute of Bioinformatics and Systems Biology, National Chiao Tung University, HsinChu, Taiwan. (4)Department of Biological Science and Technology, National Chiao Tung University, HsinChu, Taiwan. (5)Department of Urology, Mackay Memorial Hospital, Taipei, Taiwan. (6)School of Medicine, Mackay Medical College, New Taipei City, Taiwan. (7)Department of Cosmetic Applications and Management, Mackay Junior College of Medicine, Nursing and Management, Taipei, Taiwan. (8)Department of Life Sciences and Institute of Genome Sciences, National Yang-Ming University, Taipei, Taiwan. (9)Department of Medical Research, Taipei Veterans General Hospital, Taipei, Taiwan. (10)Faculty of Pharmacy, Taipei, Taiwan, National Yang-Ming University, Taipei, Taiwan. (11)Graduate Institute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung, Taiwan. (12)Graduate Institute of Medical Sciences, Taipei Medical University, Taipei, Taiwan. (13)Center for Infectious Disease and Cancer Research (CICAR), Kaohsiung Medical  University, Kaohsiung, Taiwan. arthur@kmu.edu.tw. (14)Gaduate Institute of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan. arthur@kmu.edu.tw. (15)Institute of Biomedical Sciences, National Sun Yat-sen University, Kaohsiung, Taiwan. arthur@kmu.edu.tw.  Glycine N-methyltransferase (GNMT) is a tumor suppressor for HCC. It is down-regulated in HCC, but the mechanism is not fully understood. MicroRNA-224 (miR-224) acts as an onco-miR in HCC. This study is the first to investigate miR-224 targeting the coding region of GNMT transcript. The GNMT-MT plasmid containing a miR-224 binding site silent mutation of the GNMT coding sequence can escape the suppression of miR-224 in HEK293T cells. Expression of both exogenous  and endogenous GNMT was suppressed by miR-224, while miR-224 inhibitor enhanced GNMT expression. miR-224 counteracts the effects of GNMT on the reduction of cell proliferation and tumor growth. The levels of miR-224 and GNMT mRNA showed a significant inverse relationship in tumor specimens from HCC patients. Utilizing  CCl4-treated hepatoma cells and mice as a cell damage of inflammatory or liver injury model, we observed that the decreased expression levels of GNMT were accompanied with the elevated expression levels of miR-224 in hepatoma cells and  mouse liver. Finally, hepatic AAV-mediated GNMT also reduced CCl4-induced miR-224 expression and liver fibrosis. These results indicated that AAV-mediated GNMT has potential liver protection activity. miR-224 can target the GNMT mRNA coding sequence and plays an important role in GNMT suppression during liver tumorigenesis.  DOI: 10.1038/s41598-018-30682-5  PMCID: PMC6095880	30115977
9. Genomics Proteomics Bioinformatics. 2018 Apr;16(2):120-126. doi:	10.1016/j.gpb.2017.09.004. Epub 2018 Apr 30.  The Role of Exportin-5 in MicroRNA Biogenesis and Cancer.  Wu K(1), He J(1), Pu W(1), Peng Y(2).  Author information:  (1)Department of Thoracic Surgery, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu 610041, China. (2)Department of Thoracic Surgery, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu 610041, China. Electronic address: yongpeng@scu.edu.cn.  MicroRNAs (miRNAs) are conserved small non-coding RNAs that play an important role in the regulation of gene expression and participate in a variety of biological processes. The biogenesis of miRNAs is tightly controlled at multiple  steps, such as transcription of miRNA genes, processing by Drosha and Dicer, and  transportation of precursor miRNAs (pre-miRNAs) from the nucleus to the cytoplasm by exportin-5 (XPO5). Given the critical role of nuclear export of pre-miRNAs in  miRNA biogenesis, any alterations of XPO5, resulting from either genetic mutation, epigenetic change, abnormal expression level or posttranslational modification, could affect miRNA expression and thus have profound effects on tumorigenesis. Importantly, XPO5 phosphorylation by ERK kinase and its cis/trans  isomerization by the prolyl isomerase Pin1 impair XPO5's nucleo-to-cytoplasmic transport ability of pre-miRNAs, leading to downregulation of mature miRNAs in hepatocellular carcinoma. In this review, we focus on how XPO5 transports pre-miRNAs in the cells and summarize the dysregulation of XPO5 in human tumors.  Copyright © 2018 The Authors. Production and hosting by Elsevier B.V. All rights  reserved.  DOI: 10.1016/j.gpb.2017.09.004  PMCID: PMC6112314	29723684
10. J Biol Chem. 2017 Sep 15;292(37):15395-15407. doi: 10.1074/jbc.M117.783738. Epub 	2017 Aug 1.  The long noncoding RNA HULC promotes liver cancer by increasing the expression of the HMGA2 oncogene via sequestration of the microRNA-186.  Wang Y(1), Chen F(1), Zhao M(1), Yang Z(1), Li J(1), Zhang S(1), Zhang W(1), Ye L(2), Zhang X(3).  Author information:  (1)From the State Key Laboratory of Medicinal Chemical Biology, Department of Cancer Research, College of Life Sciences, Nankai University, Tianjin 300071, China and. (2)the State Key Laboratory of Medicinal Chemical Biology, Department of Biochemistry, College of Life Sciences, Nankai University, Tianjin 300071, China  yelihong@nankai.edu.cn. (3)From the State Key Laboratory of Medicinal Chemical Biology, Department of Cancer Research, College of Life Sciences, Nankai University, Tianjin 300071, China and zhangxd@nankai.edu.cn.  The long noncoding RNA highly up-regulated in liver cancer (HULC) is aberrantly elevated in hepatocellular carcinoma (HCC), and this up-regulation is crucial for HCC pathogenesis. However, the underlying mechanism in HULC up-regulation is poorly understood. We hypothesized that HULC might modulate the oncogene high mobility group A2 (HMGA2) to promote hepatocarcinogenesis. Quantitative real-time PCR analysis showed that the expression levels of HULC were positively correlated with those of HMGA2 in clinical HCC tissues. Interestingly, we also observed that HULC could up-regulate HMGA2 in HCC cells. Mechanistically, we found that the microRNA-186 inhibited HMGA2 expression by targeting the 3'-untranslated region (3'-UTR) of HMGA2 mRNA. Strikingly, HULC acted as a competing noncoding RNA to sequester miR-186 and thereby relieved miR-186-mediated HMGA2 repression. Functionally, HMGA2 knockdown decreased the HULC-enhanced growth of HCC cells both in vitro and in vivo We conclude that the long noncoding RNA HULC increases  HMGA2 expression by sequestering miR-186 post-transcriptionally and thereby promotes liver cancer growth, providing new insights into the mechanism by which  HULC enhances hepatocarcinogenesis.  © 2017 by The American Society for Biochemistry and Molecular Biology, Inc.  DOI: 10.1074/jbc.M117.783738  PMCID: PMC5602398	28765279
